focus_group,pain_points,processed_text
DOCE Central Permit Office,Have to dig for that information – not obvious,Have to dig for that information – not obvious
DOCE Central Permit Office,Takes a long time to get updated information in IPS e.g. GIS information updated in county – lagged in IPS i.e. IPS says wrong thing and applicant was right,Takes a long time to get updated information in IPS e.g. GIS information updated in county – lagged in IPS i.e. IPS says wrong thing and applicant was right
DOCE Central Permit Office,Age old question – print all reviewer comments? Not possible,Age old question – print all reviewer comments? Not possible
DOCE Central Permit Office,IPS Camino – internal versus external notes,IPS Camino – internal versus external notes
DOCE Central Permit Office,Applicants can’t view their own violation in the system – would be helpful for applicants to have that info in the content itself,Applicants can’t view their own violation in the system – would be helpful for applicants to have that info in the content itself
DOCE Central Permit Office,Camino – applicants don’t check on Camino even though they can – still call or email and want a list,Camino – applicants don’t check on Camino even though they can – still call or email and want a list
DOCE Central Permit Office,Suggested improvement,Suggested improvement
DOCE Central Permit Office,Technology Likes Makes it clear what the final plans were,Technology Likes Makes it clear what the final plans were
DOCE Central Permit Office,Address book – contractor database is helpful,Address book – contractor database is helpful
DOCE Central Permit Office,Would be helpful for new system,Would be helpful for new system
DOCE Central Permit Office,Hard to find contact info in Camino – have to check each applications individually,Hard to find contact info in Camino – have to check each applications individually
DOCE Central Permit Office,For violations – a lot of the same,For violations – a lot of the same
DOCE Central Permit Office,"Parcel alert feature – likes that in IPS e.g. property in the floodplain, or vacant property, or historical","Parcel alert feature – likes that in IPS e.g. property in the floodplain, or vacant property, or historical"
DOCE Central Permit Office,Customize user roles – locks down permissions – can’t modify other peoples comments or notes,Customize user roles – locks down permissions – can’t modify other peoples comments or notes
DOCE Central Permit Office,Dislikes Not in IPS - likes Camino timestamps so you know who did what i.e. if you need to know who deleted a note and when,Dislikes Not in IPS - likes Camino timestamps so you know who did what i.e. if you need to know who deleted a note and when
DOCE Central Permit Office,Didn’t always know why something was paused,Didn’t always know why something was paused
DOCE Central Permit Office,Doesn’t timestamp violation notes – if note left without a name,Doesn’t timestamp violation notes – if note left without a name
DOCE Central Permit Office,In Camino can clearly see who did what step and who to call,In Camino can clearly see who did what step and who to call
DOCE Central Permit Office,In a perfect world,In a perfect world
DOCE Central Permit Office,When someone applies for permits – alert that the property has an open violation – as a trigger to look into it,When someone applies for permits – alert that the property has an open violation – as a trigger to look into it
DOCE Central Permit Office,Any level of integration with Camino would help,Any level of integration with Camino would help
DOCE Central Permit Office,Inspectors in two worlds now,Inspectors in two worlds now
DOCE Central Permit Office,Bob gets calls in July – print list of sidewalk cafes issued,Bob gets calls in July – print list of sidewalk cafes issued
DOCE Central Permit Office,Report capabilities for searching by dates – press button to print report of everything issued – Bob is able to do that for sidewalk cafes in IPS right now – there is a report function,Report capabilities for searching by dates – press button to print report of everything issued – Bob is able to do that for sidewalk cafes in IPS right now – there is a report function
DOCE Central Permit Office,Report capabilities would be important for future system,Report capabilities would be important for future system
DOCE Central Permit Office,"Not much existing documentation for IPS – figure it out, trial and error","Not much existing documentation for IPS – figure it out, trial and error"
DOCE Central Permit Office,Applicants access to certificates in Camino – not something that’s available – they don’t have to wait for it to be mailed out,Applicants access to certificates in Camino – not something that’s available – they don’t have to wait for it to be mailed out
DOCE Central Permit Office,IPS – search for new build,IPS – search for new build
DOCE Central Permit Office,Search violations by type – broad categories e.g. search for violation related to fence – more labeling up front on the case itself – quick view without having to click into the case,Search violations by type – broad categories e.g. search for violation related to fence – more labeling up front on the case itself – quick view without having to click into the case
DOCE Central Permit Office,"As of April 1, 2025 – started charging for ROW violations","As of April 1, 2025 – started charging for ROW violations"
DOCE Central Permit Office,Chuck did first one 1.5 months ago,Chuck did first one 1.5 months ago
DOCE Central Permit Office,Mirza or Chuck come up with invoice – they determine which project to tie it to – violations they charge for only in IPS (not in Camino yet),Mirza or Chuck come up with invoice – they determine which project to tie it to – violations they charge for only in IPS (not in Camino yet)
